ID; NumComplains; hour_id; LCID; RACH_Setup_Completion_Success_Rate_AVG; Total_RRC_Connection_Setup_Success_Ratio_AVG; Total_RRC_Connection_Re_establishment_Success_Ratio_AVG; Radio_Bearer_Success_Ratio_AVG; ERAB_SetupSR_AVG; HO_Success_Ratio_intra_eNB_AVG; Average_CQI_AVG; Radio_Bearer_Drop_Ratio_AVG; Average_Physical_Resource_Block_Usage_UL_AVG; Average_Physical_Resource_Block_Usage_DL_AVG; Complete_RACH_Setup_Success_Rate_AVG; AGG1_blocked_distribution_rate_AVG; AGG2_blocked_distribution_rate_AVG; AGG4_blocked_distribution_rate_AVG; AGG8_blocked_distribution_rate_AVG; ECM_failure_ratio_due_to_Rejection_by_RRM_RAC_AVG; AGG_level_block_Rate_AVG; ERAB_Drop_Ratio_with_UE_Lost_cause_initiated_by_eNB_AVG
84;1;11/20/2015 17:13;4332A113;0.9941373;0.9982454;0.3776262;0.9989296;0.9997513;0.9899528;8.515859;0.001592306;4.718021;29.01962;0.916000387;0.180883866;0.241199108;0.234896209;0.335084421;0;0.000692988;3.95E-05
85;1;11/20/2015 17:17;43633232;0.9908816;0.9963752;0.4176063;0.9984986;0.9995206;0.982557;9.106492;0.002280894;2.339704;12.70415;0.92179197;0.182387731;0.210554944;0.232741246;0.368246877;0;0.000228623;5.55E-05
86;1;11/20/2015 17:17;35109212;0.9835711;0.9988835;0.541625;0.9991627;0.9996522;0.994833;10.36355;0.002222367;1.055689;7.936286;0.899345168;0.191871349;0.175362143;0.19509099;0.318161097;0;5.60E-05;0.000108259
87;1;11/20/2015 17:26;24880112;0.9813362;0.9985138;0.2981191;0.9991337;0.9995839;0.9843829;9.882573;0.001422075;2.760525;14.59811;0.810534896;0.213887503;0.216560899;0.228504676;0.323283177;0;0.000239326;0.000160888
88;1;11/20/2015 17:31;54239112;0.9686701;0.9952984;0.563145;0.9984801;0.998964;0.9885522;9.387732;0.003831836;1.142258;8.505939;0.795669849;0.187354493;0.188744398;0.181805384;0.316605378;0;8.39E-05;4.73E-05
89;1;11/20/2015 17:34;51302113;0.993766;0.9982374;0.3781798;0.9983881;0.9996359;0.9891608;9.049455;0.002366151;1.945356;13.45013;0.862467053;0.19623195;0.219628952;0.213101182;0.366556252;0;0.000152459;8.70E-05
90;1;11/20/2015 17:38;35626111;0.9960355;0.9981256;0.6036917;0.9989848;0.999499;0.9938658;9.86757;0.001677963;6.323832;32.14093;0.873843277;0.295640098;0.259663529;0.204740854;0.216146134;0;0.0006507;0.000156401
91;1;11/20/2015 17:41;81153111;0.9881321;0.9983332;0.3501907;0.9990751;0.9995956;0.9919806;8.836426;0.001650106;2.378412;16.68655;0.823213737;0.177981468;0.215195373;0.230745289;0.337026856;0;0.000304212;0.000108581
92;1;11/20/2015 17:48;23165113;0.9985722;0.9987733;0.3037247;0.9993111;0.9997366;0.993989;9.373789;0.001248305;1.852817;14.81289;0.866384403;0.169180056;0.197653176;0.250523092;0.37536098;0;0.000354969;0.00010791
93;1;11/20/2015 17:49;802A2112;0.9960564;0.9990821;0.4136882;0.9993727;0.999715;0.9919661;9.194647;0.001269277;1.842933;13.86174;0.856611928;0.214210572;0.218934186;0.230776486;0.325049627;0;0.00016594;0.000106544
94;1;11/20/2015 17:53;91208111;0.9861789;0.9984748;0.6976341;0.9991618;0.999744;0.9959508;9.902575;0.002172172;1.578196;12.0226;0.89475169;0.180980729;0.194852045;0.18643795;0.286213991;0;8.20E-05;8.44E-05
95;1;11/20/2015 17:54;35738111;0.9910339;0.9994249;0.660562;0.9990365;0.9992099;0.9799344;9.657102;0.002405455;0.9394013;2.982983;0.746809776;0.119156303;0.096511513;0.076681429;0.307090336;0;8.21E-06;1.00E-04
96;1;11/20/2015 17:55;236F8111;0.9954301;0.9962498;0.3114021;0.9980579;0.999275;0.9849648;9.462617;0.002431734;5.89037;34.20282;0.825418399;0.187600176;0.202695235;0.199730882;0.312494798;0;0.001464462;0.000109941
